GROUP,Country or Area,COUNTRY.OF.RESIDENCE
OTHER COUNTRIES,Guinea-Bissau,GNB
OTHER COUNTRIES,Liberia,LBR
OTHER COUNTRIES,Mali,MLI
OTHER COUNTRIES,Mauritania,MRT
OTHER COUNTRIES,Niger,NER
OTHER COUNTRIES,Nigeria,NGA
OTHER COUNTRIES,Saint Helena,SHN
OTHER COUNTRIES,Senegal,SEN
OTHER COUNTRIES,Sierra Leone,SLE
OTHER COUNTRIES,Togo,TGO
OTHER COUNTRIES,Anguilla,AIA
OTHER COUNTRIES,Antigua and Barbuda,ATG
OTHER COUNTRIES,Aruba,ABW
OTHER COUNTRIES,Bahamas,BHS
OTHER COUNTRIES,Barbados,BRB
OTHER COUNTRIES,"Bonaire, Sint Eustatius and Saba",BES
OTHER COUNTRIES,British Virgin Islands,VGB
OTHER COUNTRIES,Cayman Islands,CYM
OTHER COUNTRIES,Cuba,CUB
OTHER COUNTRIES,Curaçao,CUW
OTHER COUNTRIES,Dominica,DMA
OTHER COUNTRIES,Dominican Republic,DOM
OTHER COUNTRIES,Grenada,GRD
OTHER COUNTRIES,Guadeloupe,GLP
OTHER COUNTRIES,Haiti,HTI
OTHER COUNTRIES,Jamaica,JAM
OTHER COUNTRIES,Martinique,MTQ
OTHER COUNTRIES,Montserrat,MSR
OTHER COUNTRIES,Puerto Rico,PRI
OTHER COUNTRIES,Saint Barthélemy,BLM
OTHER COUNTRIES,Saint Kitts and Nevis,KNA
OTHER COUNTRIES,Saint Lucia,LCA
OTHER COUNTRIES,Saint Martin (French Part),MAF
OTHER COUNTRIES,Saint Vincent and the Grenadines,VCT
OTHER COUNTRIES,Sint Maarten (Dutch part),SXM
OTHER COUNTRIES,Trinidad and Tobago,TTO
OTHER COUNTRIES,Turks and Caicos Islands,TCA
OTHER COUNTRIES,United States Virgin Islands,VIR
OTHER COUNTRIES,Belize,BLZ
OTHER COUNTRIES,Costa Rica,CRI
OTHER COUNTRIES,El Salvador,SLV
OTHER COUNTRIES,Guatemala,GTM
OTHER COUNTRIES,Honduras,HND
OTHER COUNTRIES,Mexico,MEX
OTHER COUNTRIES,Nicaragua,NIC
OTHER COUNTRIES,Panama,PAN
OTHER COUNTRIES,Argentina,ARG
OTHER COUNTRIES,Bolivia (Plurinational State of),BOL
OTHER COUNTRIES,Bouvet Island,BVT
OTHER COUNTRIES,Brazil,BRA
OTHER COUNTRIES,Chile,CHL
OTHER COUNTRIES,Colombia,COL
OTHER COUNTRIES,Ecuador,ECU
OTHER COUNTRIES,Falkland Islands (Malvinas),FLK
OTHER COUNTRIES,French Guiana,GUF
OTHER COUNTRIES,Guyana,GUY
OTHER COUNTRIES,Paraguay,PRY
OTHER COUNTRIES,Peru,PER
OTHER COUNTRIES,South Georgia and the South Sandwich Islands,SGS
OTHER COUNTRIES,Suriname,SUR
OTHER COUNTRIES,Uruguay,URY
OTHER COUNTRIES,Venezuela (Bolivarian Republic of),VEN
NORTH AMERICA,Bermuda,BMU
NORTH AMERICA,Canada,CAN
NORTH AMERICA,Greenland,GRL
NORTH AMERICA,Saint Pierre and Miquelon,SPM
NORTH AMERICA,United States of America,USA
NORTH AMERICA,Antarctica,ATA
OTHER COUNTRIES,Kazakhstan,KAZ
OTHER COUNTRIES,Kyrgyzstan,KGZ
OTHER COUNTRIES,Tajikistan,TJK
OTHER COUNTRIES,Turkmenistan,TKM
OTHER COUNTRIES,Uzbekistan,UZB
CHINA,China,CHN
CHINA,"China, Hong Kong Special Administrative Region",HKG
CHINA,"China, Macao Special Administrative Region",MAC
OTHER COUNTRIES,Democratic People's Republic of Korea,PRK
JAPAN,Japan,JPN
OTHER COUNTRIES,Mongolia,MNG
OTHER COUNTRIES,Republic of Korea,KOR
OTHER COUNTRIES,Brunei Darussalam,BRN
OTHER COUNTRIES,Cambodia,KHM
OTHER COUNTRIES,Indonesia,IDN
OTHER COUNTRIES,Lao People's Democratic Republic,LAO
OTHER COUNTRIES,Malaysia,MYS
OTHER COUNTRIES,Myanmar,MMR
OTHER COUNTRIES,Philippines,PHL
OTHER COUNTRIES,Singapore,SGP
OTHER COUNTRIES,Thailand,THA
OTHER COUNTRIES,Timor-Leste,TLS
OTHER COUNTRIES,Viet Nam,VNM
OTHER COUNTRIES,Taiwan,TWN
OTHER COUNTRIES,Afghanistan,AFG
OTHER COUNTRIES,Bangladesh,BGD
OTHER COUNTRIES,Bhutan,BTN
OTHER COUNTRIES,India,IND
OTHER COUNTRIES,Iran (Islamic Republic of),IRN
OTHER COUNTRIES,Maldives,MDV
OTHER COUNTRIES,Nepal,NPL
OTHER COUNTRIES,Pakistan,PAK
OTHER COUNTRIES,Sri Lanka,LKA
OTHER COUNTRIES,Armenia,ARM
OTHER COUNTRIES,Azerbaijan,AZE
OTHER COUNTRIES,Bahrain,BHR
OTHER COUNTRIES,Cyprus,CYP
OTHER COUNTRIES,Georgia,GEO
OTHER COUNTRIES,Iraq,IRQ
OTHER COUNTRIES,Israel,ISR
OTHER COUNTRIES,Jordan,JOR
OTHER COUNTRIES,Kuwait,KWT
OTHER COUNTRIES,Lebanon,LBN
OTHER COUNTRIES,Oman,OMN
OTHER COUNTRIES,Qatar,QAT
OTHER COUNTRIES,Saudi Arabia,SAU
OTHER COUNTRIES,State of Palestine,PSE
OTHER COUNTRIES,Syrian Arab Republic,SYR
OTHER COUNTRIES,Turkey,TUR
OTHER COUNTRIES,United Arab Emirates,ARE
OTHER COUNTRIES,Yemen,YEM
EUROPE,Belarus,BLR
EUROPE,Bulgaria,BGR
EUROPE,Czechia,CZE
EUROPE,Hungary,HUN
EUROPE,Poland,POL
EUROPE,Republic of Moldova,MDA
EUROPE,Romania,ROU
EUROPE,Russian Federation,RUS
EUROPE,Slovakia,SVK
EUROPE,Ukraine,UKR
EUROPE,Åland Islands,ALA
EUROPE,Guernsey,GGY
EUROPE,Jersey,JEY
EUROPE,Sark,
EUROPE,Denmark,DNK
EUROPE,Estonia,EST
EUROPE,Faroe Islands,FRO
EUROPE,Finland,FIN
EUROPE,Iceland,ISL
EUROPE,Ireland,IRL
EUROPE,Isle of Man,IMN
EUROPE,Latvia,LVA
EUROPE,Lithuania,LTU
EUROPE,Norway,NOR
EUROPE,Svalbard and Jan Mayen Islands,SJM
EUROPE,Sweden,SWE
EUROPE,United Kingdom of Great Britain and Northern Ireland,GBR
EUROPE,United Kingdom of Great Britain and Northern Ireland Nationals (Overseas),GBN
EUROPE,Albania,ALB
EUROPE,Andorra,AND
EUROPE,Bosnia and Herzegovina,BIH
EUROPE,Croatia,HRV
EUROPE,Gibraltar,GIB
EUROPE,Greece,GRC
EUROPE,Holy See,VAT
EUROPE,Italy,ITA
EUROPE,Malta,MLT
EUROPE,Montenegro,MNE
EUROPE,North Macedonia,MKD
EUROPE,Portugal,PRT
EUROPE,San Marino,SMR
EUROPE,Serbia,SRB
EUROPE,Slovenia,SVN
EUROPE,Spain,ESP
EUROPE,Austria,AUT
EUROPE,Belgium,BEL
EUROPE,France,FRA
EUROPE,Germany,DEU
EUROPE,Liechtenstein,LIE
EUROPE,Luxembourg,LUX
EUROPE,Monaco,MCO
EUROPE,Netherlands,NLD
EUROPE,Switzerland,CHE
AUSTRALIA,Australia,AUS
OTHER PACIFIC COUNTRIES,Christmas Island,CXR
OTHER PACIFIC COUNTRIES,Cocos (Keeling) Islands,CCK
OTHER PACIFIC COUNTRIES,Heard Island and McDonald Islands,HMD
NEW ZEALAND,New Zealand,NZL
OTHER PACIFIC COUNTRIES,Norfolk Island,NFK
OTHER PACIFIC COUNTRIES,Fiji,FJI
NEW CALEDONIA,New Caledonia,NCL
OTHER PACIFIC COUNTRIES,Papua New Guinea,PNG
OTHER PACIFIC COUNTRIES,Solomon Islands,SLB
OTHER PACIFIC COUNTRIES,Vanuatu,VUT
OTHER PACIFIC COUNTRIES,Guam,GUM
OTHER PACIFIC COUNTRIES,Kiribati,KIR
OTHER PACIFIC COUNTRIES,Marshall Islands,MHL
OTHER PACIFIC COUNTRIES,Micronesia (Federated States of),FSM
OTHER PACIFIC COUNTRIES,Nauru,NRU
OTHER PACIFIC COUNTRIES,Northern Mariana Islands,MNP
OTHER PACIFIC COUNTRIES,Palau,PLW
OTHER PACIFIC COUNTRIES,United States Minor Outlying Islands,UMI
OTHER PACIFIC COUNTRIES,American Samoa,ASM
OTHER PACIFIC COUNTRIES,Cook Islands,COK
OTHER PACIFIC COUNTRIES,French Polynesia,PYF
OTHER PACIFIC COUNTRIES,Niue,NIU
OTHER PACIFIC COUNTRIES,Pitcairn,PCN
OTHER PACIFIC COUNTRIES,Samoa,WSM
OTHER PACIFIC COUNTRIES,Tokelau,TKL
OTHER PACIFIC COUNTRIES,Tonga,TON
OTHER PACIFIC COUNTRIES,Tuvalu,TUV
OTHER PACIFIC COUNTRIES,Wallis and Futuna Islands,WLF
